from,to
Man Mountain Marko,Rage (comics)
Man Mountain Marko,Luke Cage
Man Mountain Marko,Jimmy Woo
Man Mountain Marko,Ringer (comics)
Man Mountain Marko,Grizzly (comics)
Man Mountain Marko,Hammerhead (comics)
Man Mountain Marko,Spider-Man 2099
Man Mountain Marko,Thunderbolt (Marvel Comics)
Man Mountain Marko,Cyclone (Marvel Comics)
Man Mountain Marko,Eel (comics)
Man Mountain Marko,Silvermane
Man Mountain Marko,Big Ben Donovan
Man Mountain Marko,Dazzler (Marvel Comics)
Man Mountain Marko,Nightshade (Marvel Comics)
Man Mountain Marko,Tombstone (comics)
Man Mountain Marko,Owl (Marvel Comics)
Man Mountain Marko,Moon Knight
Man Mountain Marko,Spider-Man
Man Mountain Marko,Boomerang (comics)
Man Mountain Marko,Kangaroo (comics)
Man Mountain Marko,Jessica Jones
Man Mountain Marko,Juggernaut (comics)
Man Mountain Marko,Ben Urich
Man Mountain Marko,Turk Barrett
Ulik,Laufey (comics)
Ulik,Rick Jones (comics)
Ulik,Impossible Man
Ulik,Idunn (comics)
Ulik,Marlo Chandler
Ulik,Thor (Marvel Comics)
Ulik,Minotaur (comics)
Ulik,Jane Foster (comics)
Ulik,Odin (comics)
Ulik,Doctor Doom
Ulik,Fenris Wolf (Marvel Comics)
Ulik,Hercules (Marvel Comics)
Ulik,Volla (comics)
Ulik,Venom (Marvel Comics character)
Ulik,Mangog
Ulik,Doctor Octopus
Lightmaster,Cloak and Dagger (comics)
Lightmaster,Two-Gun Kid
Lightmaster,Absorbing Man
Lightmaster,Cable (comics)
Lightmaster,Hood (comics)
Lightmaster,Whirlwind (comics)
Lightmaster,Kraven the Hunter
Lightmaster,Awesome Android
Lightmaster,Dazzler (Marvel Comics)
Lightmaster,Rogue (comics)
Lightmaster,Mister Negative
Lightmaster,Quasar (comics)
Lightmaster,Mimic (comics)
Lightmaster,Spider-Man
Lightmaster,She-Hulk
Lightmaster,Blackout (Marcus Daniels)
Lightmaster,Mister Hyde (comics)
Lightmaster,Tarantula (Marvel Comics)
Lightmaster,Doctor Octopus
Oya (comics),Hope Summers (comics)
Oya (comics),Storm (Marvel Comics)
Oya (comics),Cypher (comics)
Oya (comics),Deathlok
Oya (comics),Professor X
Oya (comics),Transonic (comics)
Oya (comics),Magneto (Marvel Comics)
Oya (comics),Bling!
Oya (comics),Cyclops (Marvel Comics)
Oya (comics),Krakoa
Oya (comics),Orphan-Maker
Oya (comics),Sabretooth (comics)
Red Ghost (character),Invisible Woman
Red Ghost (character),Abomination (character)
Red Ghost (character),Attuma
Red Ghost (character),Franklin Richards (Fantastic Four)
Red Ghost (character),Black Fox (Raul Chalmers)
Red Ghost (character),Mole Man
Red Ghost (character),Living Laser
Red Ghost (character),Quasar (comics)
Red Ghost (character),Beast (comics)
Red Ghost (character),Klaw (Marvel Comics)
Red Ghost (character),Uatu
Red Ghost (character),Mister Fantastic
Red Ghost (character),Spider-Man
Red Ghost (character),She-Hulk
Red Ghost (character),Galactus
Red Ghost (character),MODOK
Red Ghost (character),Doctor Doom
Red Ghost (character),Unicorn (Marvel Comics)
Red Ghost (character),Kitty Pryde
Red Ghost (character),Doctor Octopus
Hiroim,Doctor Strange
Hiroim,Silver Surfer
Hiroim,Luke Cage
Hiroim,No-Name
Hiroim,Marlo Chandler
Hiroim,Elloe Kaifi
Hiroim,Korg (comics)
Hiroim,Death (Marvel Comics)
Hiroim,Miek
Hiroim,Thing (comics)
Hiroim,Amatsu-Mikaboshi (comics)
Hiroim,Leader (comics)
Hiroim,Brian Banner
Victor Mancha,Electro (Marvel Comics)
Victor Mancha,Nico Minoru
Victor Mancha,Kingpin (comics)
Victor Mancha,Molly Hayes
Victor Mancha,Klara Prast
Victor Mancha,Alex Wilder
Victor Mancha,Old Lace (comics)
Victor Mancha,Magneto (Marvel Comics)
Victor Mancha,Chase Stein
Victor Mancha,Kang the Conqueror
Victor Mancha,Henry Pym
Victor Mancha,Ultron
Victor Mancha,Leader (comics)
Victor Mancha,Xavin
Victor Mancha,Gibborim (comics)
Victor Mancha,Gertrude Yorkes
Victor Mancha,Galactus
Victor Mancha,Karolina Dean
Victor Mancha,Doctor Doom
Victor Mancha,Iron Lad
Victor Mancha,Red Skull
Ymir (Marvel Comics),Laufey (comics)
Ymir (Marvel Comics),Doctor Strange
Ymir (Marvel Comics),Surtur (Marvel Comics)
Ymir (Marvel Comics),Thor (Marvel Comics)
Ymir (Marvel Comics),Odin (comics)
Ymir (Marvel Comics),Blastaar
Shanna the She-Devil,Tigra
Shanna the She-Devil,High Evolutionary
Shanna the She-Devil,Zabu
Shanna the She-Devil,Amadeus Cho
Shanna the She-Devil,Mandrill (comics)
Shanna the She-Devil,Daredevil (Marvel Comics character)
Shanna the She-Devil,Garokk
Shanna the She-Devil,Jann of the Jungle
Shanna the She-Devil,Sauron (comics)
Shanna the She-Devil,Iceman (Marvel Comics)
Shanna the She-Devil,Spider-Man
Shanna the She-Devil,Mister Sinister
Shanna the She-Devil,Firestar (Marvel Comics)
Shanna the She-Devil,Night Nurse (comics)
Val Rhymin,Nico Minoru
Val Rhymin,Klara Prast
Val Rhymin,Chase Stein
Supreme Intelligence,Doctor Strange
Supreme Intelligence,Captain Marvel (Marvel Comics)
Supreme Intelligence,Gamora
Supreme Intelligence,Immortus
Supreme Intelligence,Yon-Rogg
Supreme Intelligence,Ego the Living Planet
Supreme Intelligence,Thing (comics)
Supreme Intelligence,Hercules (Marvel Comics)
Supreme Intelligence,Ms. Marvel
Supreme Intelligence,Rick Jones (comics)
Supreme Intelligence,Genis-Vell
Supreme Intelligence,Kang the Conqueror
Supreme Intelligence,Carol Danvers
Supreme Intelligence,Silver Surfer
Supreme Intelligence,Contemplator (Marvel Comics)
Supreme Intelligence,Quasar (comics)
Supreme Intelligence,Beast (comics)
Supreme Intelligence,Mister Fantastic
Supreme Intelligence,Ghost Rider
Supreme Intelligence,Ronan the Accuser
Supreme Intelligence,Goom
Supreme Intelligence,Spider-Man
Supreme Intelligence,Annihilus
Supreme Intelligence,Deathlok
Supreme Intelligence,Eternity (comics)
Supreme Intelligence,J'son (character)
Man-Thing,Doctor Strange
Man-Thing,Dweller-in-Darkness
Man-Thing,Thog (comics)
Man-Thing,Lizard (comics)
Man-Thing,Thing (comics)
Man-Thing,Invisible Woman
Man-Thing,Dracula (Marvel Comics)
Man-Thing,D'Spayre
Man-Thing,Molecule Man
Man-Thing,Phil Coulson
Man-Thing,Killraven
Man-Thing,Arkon
Man-Thing,"N'Kantu, the Living Mummy"
Man-Thing,Weapon H
Man-Thing,Omega the Unknown
Man-Thing,Kang the Conqueror
Man-Thing,Sequoia (comics)
Man-Thing,Nightcrawler (comics)
Man-Thing,Groot
Man-Thing,Taskmaster (comics)
Man-Thing,Deadpool
Man-Thing,Werewolf by Night
Man-Thing,"Morbius, the Living Vampire"
Man-Thing,Storm (Marvel Comics)
Man-Thing,Richard Rory
Man-Thing,Jennifer Kale
Man-Thing,Skull the Slayer
Man-Thing,Mockingbird (Marvel Comics)
Man-Thing,Death (Marvel Comics)
Man-Thing,Manphibian
Man-Thing,Minotaur (comics)
Man-Thing,Mister Fantastic
Man-Thing,Topaz (Marvel Comics)
Man-Thing,Jean Grey
Man-Thing,Rocket Raccoon
Man-Thing,Shanna the She-Devil
Man-Thing,Spider-Man
Man-Thing,She-Hulk
Man-Thing,Amadeus Cho
Man-Thing,Morgan le Fay (Marvel Comics)
Man-Thing,Foolkiller
Man-Thing,Galactus
Man-Thing,Korg (comics)
Man-Thing,Howard the Duck
Man-Thing,Satana (Marvel Comics)
Man-Thing,Mephisto (comics)
Man-Thing,Red Skull
Venus (Marvel Comics),Zeus (Marvel Comics)
Venus (Marvel Comics),Athena (Marvel Comics)
Venus (Marvel Comics),Immortus
Venus (Marvel Comics),Jimmy Woo
Venus (Marvel Comics),Yellow Claw (comics)
Venus (Marvel Comics),Ancient One
Venus (Marvel Comics),Thor (Marvel Comics)
Venus (Marvel Comics),Hercules (Marvel Comics)
Venus (Marvel Comics),Spider-Man
Venus (Marvel Comics),Ares (Marvel Comics)
Venus (Marvel Comics),Amadeus Cho
Venus (Marvel Comics),Namorita
Troll (Marvel Comics),Boomerang (comics)
Troll (Marvel Comics),Luke Cage
Troll (Marvel Comics),Mister Hyde (comics)
Troll (Marvel Comics),Man-Thing
Troll (Marvel Comics),Baron Zemo
Troll (Marvel Comics),Fixer (comics)
Troll (Marvel Comics),Valkyrie (Marvel Comics)
Troll (Marvel Comics),Thor (Marvel Comics)
Troll (Marvel Comics),U.S. Agent (comics)
Man-Bull,Armadillo (comics)
Man-Bull,Equinox (comics)
Man-Bull,Matador (Marvel Comics)
Man-Bull,Daredevil (Marvel Comics character)
Man-Bull,Absorbing Man
Man-Bull,Thing (comics)
Man-Bull,Grizzly (comics)
Man-Bull,Hercules (Marvel Comics)
Man-Bull,Trapster
Man-Bull,Constrictor (comics)
Man-Bull,Hecate (Marvel Comics)
Man-Bull,Kraven the Hunter
Man-Bull,Griffin (Marvel Comics)
Man-Bull,Wizard (Marvel Comics)
Man-Bull,Rogue (comics)
Man-Bull,Big Wheel (comics)
Man-Bull,Taskmaster (comics)
Man-Bull,Punisher
Man-Bull,Tombstone (comics)
Man-Bull,Spider-Ham
Man-Bull,Mimic (comics)
Man-Bull,Hypno-Hustler
Man-Bull,Spider-Man
Man-Bull,Whiplash (comics)
Man-Bull,Foolkiller
Man-Bull,Mister Hyde (comics)
Man-Bull,Howard the Duck
Man-Bull,Arcade (Marvel Comics)
Man-Bull,Tigra
Man-Bull,Melter
Man-Bull,Dreadknight
Terror Inc.,Luke Cage
Terror Inc.,Jubilee (comics)
Terror Inc.,Daredevil (Marvel Comics character)
Terror Inc.,Kingpin (comics)
Terror Inc.,Styx and Stone
Terror Inc.,Mayhem (comics)
Terror Inc.,Silver Sable
Terror Inc.,Punisher
Terror Inc.,Werner von Strucker
Terror Inc.,Werewolf by Night
Yukio (comics),Lady Deathstrike
Yukio (comics),Storm (Marvel Comics)
Yukio (comics),Omega Red
Yukio (comics),Professor X
Yukio (comics),War Machine
Yukio (comics),Juggernaut (comics)
Yukio (comics),Shingen Yashida
Yukio (comics),Cable (comics)
Yukio (comics),Silver Samurai
Yukio (comics),Colossus (comics)
Yukio (comics),Callisto (comics)
Yukio (comics),Mastermind (Jason Wyngarde)
Yukio (comics),Rogue (comics)
Yukio (comics),Mariko Yashida
Yukio (comics),Gambit (Marvel Comics)
Yukio (comics),Deadpool
Yukio (comics),Viper (Marvel Comics)
Yukio (comics),Sabretooth (comics)
Ruby Thursday,Gibbon (comics)
Ruby Thursday,Cloak and Dagger (comics)
Ruby Thursday,Two-Gun Kid
Ruby Thursday,Griffin (Marvel Comics)
Ruby Thursday,Skaar (character)
Ruby Thursday,Omega the Unknown
Ruby Thursday,Chondu the Mystic
Ruby Thursday,Patsy Walker
Ruby Thursday,Silver Samurai
Ruby Thursday,Rogue (comics)
Ruby Thursday,Mysterio
Ruby Thursday,Mimic (comics)
Ruby Thursday,Wasp (comics)
Ruby Thursday,Bullseye (comics)
Ruby Thursday,She-Hulk
Ruby Thursday,Shriek (comics)
Ruby Thursday,Humbug (comics)
Cassandra Nova,Cable (comics)
Cassandra Nova,Fantomex
Cassandra Nova,Cyclops (Marvel Comics)
Cassandra Nova,Nightcrawler (comics)
Cassandra Nova,Apocalypse (comics)
Cassandra Nova,Krakoa
Cassandra Nova,Marauders (comics)
Cassandra Nova,Sebastian Shaw (comics)
Cassandra Nova,Sentinel (comics)
Cassandra Nova,Shadow King
Cassandra Nova,Beast (comics)
Cassandra Nova,Bolivar Trask
Cassandra Nova,Betsy Braddock
Cassandra Nova,Emma Frost
Cassandra Nova,Jean Grey
Cassandra Nova,Professor X
Cassandra Nova,Exodus (comics)
Cassandra Nova,Kitty Pryde
Cassandra Nova,Stepford Cuckoos
Cassandra Nova,Blindfold (comics)
Tamara Rahn,Llyra
Tamara Rahn,Lyja
Tamara Rahn,Tiger Shark (Marvel Comics)
Tamara Rahn,Attuma
Tamara Rahn,Orka (comics)
Tamara Rahn,Stingray (comics)
Tamara Rahn,Doctor Doom
Tamara Rahn,Triton (comics)
Tamara Rahn,Wasp (comics)
Tamara Rahn,Radioactive Man (comics)
Tamara Rahn,Namorita
F.R.I.D.A.Y.,Ultron
F.R.I.D.A.Y.,Fin Fang Foom
F.R.I.D.A.Y.,Bethany Cabe
F.R.I.D.A.Y.,J.A.R.V.I.S.
F.R.I.D.A.Y.,Ghost (Marvel Comics)
F.R.I.D.A.Y.,Jocasta (comics)
F.R.I.D.A.Y.,Pepper Potts
F.R.I.D.A.Y.,Edwin Jarvis
Stryfe,Slab (comics)
Stryfe,Rusty Collins
Stryfe,Dark Riders (comics)
Stryfe,Madelyne Pryor
Stryfe,Warpath (comics)
Stryfe,Professor X
Stryfe,Mutant Liberation Front
Stryfe,Cable (comics)
Stryfe,Nate Grey
Stryfe,Fenris (comics)
Stryfe,Cyclops (Marvel Comics)
Stryfe,Garrison Kane
Stryfe,Genesis (Marvel Comics)
Stryfe,Jean Grey
Stryfe,Skids (comics)
Stryfe,Mister Sinister
Stryfe,Apocalypse (comics)
Stryfe,Sentinel (comics)
Al MacKenzie,Phil Coulson
Al MacKenzie,Jessica Jones
Al MacKenzie,Mockingbird (Marvel Comics)
Al MacKenzie,Ben Urich
Al MacKenzie,Leo Fitz
Al MacKenzie,Yo-Yo Rodriguez
Yondu,Sharon Carter
Yondu,Kismet (Marvel Comics)
Yondu,Korvac
Yondu,Martinex
Yondu,Thor (Marvel Comics)
Yondu,Thing (comics)
Yondu,Charlie-27
Yondu,Taserface
Yondu,Vance Astro
Yondu,Star-Lord
Yondu,Starhawk (comics)
Calypso (comics),Kraven the Hunter
Calypso (comics),Lizard (comics)
Calypso (comics),Daredevil (Marvel Comics character)
Calypso (comics),Zombie (comics)
Calypso (comics),Glory Grant
Calypso (comics),Black Cat (Marvel Comics)
Calypso (comics),Spider-Man
Ma Gnucci,Bushwacker (comics)
Ma Gnucci,Deadpool
Ma Gnucci,Russian (comics)
Ma Gnucci,Punisher
Vision (Timely Comics),Rick Jones (comics)
Vision (Timely Comics),Galactus
Vision (Timely Comics),Angel (Thomas Halloway)
Vision (Timely Comics),Toro (comics)
Vision (Timely Comics),Bucky Barnes
Vision (Timely Comics),Fin (comics)
Vision (Timely Comics),Blazing Skull
Doctor Demonicus,Electro (Marvel Comics)
Doctor Demonicus,Sunfire (comics)
Doctor Demonicus,Gabe Jones
Doctor Demonicus,"Godzilla, King of the Monsters (comic book)"
Doctor Demonicus,Hood (comics)
Torpedo (Marvel Comics),Rom (comics)
Torpedo (Marvel Comics),Daredevil (Marvel Comics character)
Torpedo (Marvel Comics),Rocketeers (comics)
Torpedo (Marvel Comics),Turbo (comics)
Torpedo (Marvel Comics),Chameleon (comics)
Blackwing (character),Mother Night (comics)
Blackwing (character),Crossbones (comics)
Blackwing (character),Red Skull
Blackwing (character),Madame Masque
Blackwing (character),Daredevil (Marvel Comics character)
Blackwing (character),Silvermane
Blackwing (character),Old Man Logan
Blackwing (character),Turbo (comics)
Blackwing (character),Blastaar
Blackwing (character),Ringmaster (comics)
Madame Web,Doctor Strange
Madame Web,Spider-Man 2099
Madame Web,Kraven the Hunter
Madame Web,Juggernaut (comics)
Madame Web,Spider-Woman
Madame Web,Jackal (Marvel Comics)
Madame Web,Mysterio
Madame Web,Iron Fist (comics)
Madame Web,Black Tom Cassidy
Madame Web,Spider-Man
Madame Web,Carnage (character)
Madame Web,Beyonder
Outlaw (comics),Black Swan (comics)
Outlaw (comics),Kingpin (comics)
Outlaw (comics),Microchip (comics)
Outlaw (comics),T-Ray (comics)
Outlaw (comics),Stick (comics)
Outlaw (comics),Cyclops (Marvel Comics)
Outlaw (comics),Skids (comics)
Outlaw (comics),Deadpool
Outlaw (comics),Taskmaster (comics)
Outlaw (comics),Punisher
Outlaw (comics),Squirrel Girl
Outlaw (comics),Collector (comics)
Outlaw (comics),Agent X (Marvel Comics)
Outlaw (comics),Pod (comics)
Outlaw (comics),Leper Queen
Outlaw (comics),Empath (comics)
Outlaw (comics),Maestro (comics)
Outlaw (comics),Peepers (Marvel Comics)
Outlaw (comics),Domino (comics)
Maker (Reed Richards),High Evolutionary
Maker (Reed Richards),Toni Ho
Maker (Reed Richards),Flash Thompson
Maker (Reed Richards),Galactus
Maker (Reed Richards),Franklin Richards (Fantastic Four)
Maker (Reed Richards),Vermin (comics)
Maker (Reed Richards),Mockingbird (Marvel Comics)
Maker (Reed Richards),Spider-Man (Miles Morales)
Maker (Reed Richards),Warlock (New Mutants)
Maker (Reed Richards),Sunspot (comics)
Maker (Reed Richards),Mister Fantastic
Maker (Reed Richards),Mahr Vehl
Maker (Reed Richards),Doctor Doom
Maker (Reed Richards),Mysterio
Maker (Reed Richards),Molecule Man
Maker (Reed Richards),Carol Danvers
Maker (Reed Richards),Knull (comics)
Belasco (Marvel Comics),Amanda Sefton
Belasco (Marvel Comics),Madelyne Pryor
Belasco (Marvel Comics),N'astirh
Belasco (Marvel Comics),Pixie (X-Men)
Belasco (Marvel Comics),Cable (comics)
Belasco (Marvel Comics),Kitty Pryde
Belasco (Marvel Comics),Nightcrawler (comics)
Belasco (Marvel Comics),Shanna the She-Devil
Belasco (Marvel Comics),Rev (comics)
Belasco (Marvel Comics),N'Garai
Belasco (Marvel Comics),D'Spayre
Belasco (Marvel Comics),Punisher
Primus (Marvel Comics),Arnim Zola
Hrimhari,Shatterstar
Hrimhari,Hela (comics)
Hrimhari,Volstagg
Hrimhari,Danielle Moonstar
Hrimhari,Rictor
Hrimhari,Thor (Marvel Comics)
Hrimhari,Siryn
Hrimhari,Tabitha Smith
Hrimhari,Elixir (comics)
Hrimhari,Doctor Nemesis
Hrimhari,Wolfsbane (comics)
Hrimhari,Hogun
Superia,Luke Cage
Superia,Bucky (Marvel Comics)
Superia,Invisible Woman
Superia,U.S. Agent (comics)
Superia,Mentallo
Superia,Black Mamba (comics)
Superia,Ms. Marvel
Superia,MODAM
Superia,Taskmaster (comics)
Superia,Henry Pym
Superia,Contemplator (Marvel Comics)
Superia,Nightshade (Marvel Comics)
Superia,Paladin (comics)
Superia,Asp (comics)
Superia,American Dream (comics)
Superia,Wasp (comics)
Superia,Spider-Man
Superia,Free Spirit (comics)
Superia,Graviton (comics)
Superia,Thundra
Superia,Snapdragon (comics)
Superia,Red Skull
Harry Osborn#Kindred,Mephisto (comics)
Harry Osborn#Kindred,Hobgoblin (comics)
Harry Osborn#Kindred,Carnage (character)
Harry Osborn#Kindred,Liz Allan
Harry Osborn#Kindred,Betty Brant
Harry Osborn#Kindred,Jason Macendale
Harry Osborn#Kindred,Gabriel Stacy and Sarah Stacy
Harry Osborn#Kindred,Werewolf by Night
Harry Osborn#Kindred,Mister Negative
Harry Osborn#Kindred,Roderick Kingsley
Harry Osborn#Kindred,Vin Gonzales
Harry Osborn#Kindred,Carlie Cooper
Harry Osborn#Kindred,Moon Knight
Harry Osborn#Kindred,Jackal (Marvel Comics)
Harry Osborn#Kindred,Spider-Man
Harry Osborn#Kindred,Chameleon (comics)
Harry Osborn#Kindred,Flash Thompson
Harry Osborn#Kindred,Molten Man
Harry Osborn#Kindred,Normie Osborn
Harry Osborn#Kindred,Mysterio
Harry Osborn#Kindred,Ned Leeds
Harry Osborn#Kindred,Menace (Marvel Comics)
Harry Osborn#Kindred,Spider-Girl (Mayday Parker)
Harry Osborn#Kindred,Kaine Parker
Harry Osborn#Kindred,Ben Reilly
Harry Osborn#Kindred,Iron Patriot
Harry Osborn#Kindred,Doctor Octopus
Red Skull,Electro (Marvel Comics)
